ANASTACIA,LEFT OUTSIDE ALONE,MEL,1000085
ANDRES ESTECHE,JUST LIKE A BOOMERANG,MAD,FF
ANDRES ESTECHE,JUST LIKE A BOOMERANG,MAD,SWE
ANDREW W.K,PARTY HARD,MAD,HRD 1
ANDY KIM,ROCK ME GENTLY,MAD,EXST 3
ANDY WILLIAMS,EXODUS,MEL,1006599
ANDY WILLIAMS,MOON RIVER,MAD,TOPHIT -27
ANDY WILLIAMS,WHERE DO I BEGIN (THEME FROM LOVE STORY),MAD,PIO 1B - 7
ANEKA,JAPANESE BOY,MEL,1004120
ANETTE TUOMINEN,KENEN SYY,MEL,1314477
ANETTE TUOMINEN,TROIKKA,MEL,1314494
ANI & VIIVI,LUPAA ET SÄ LÄHET,MAD,KUNINGAS
ANIMALS,DON'T LET ME BE MISUNDERSTOOD,MAD,MPR
ANIMALS,HOUSE OF THE RISING SUN,MAD,HRD 1
ANIMALS,HOUSE OF THE RISING SUN,MAD,PIO-018
ANIMALS,THE HOUSE OF THE RISING SUN,MAD,EXST 1
ANIMALS,THE HOUSE OF THE RISING SUN,MAD,HRD 1
ANIMALS,THE HOUSE OF THE RISING SUN,MAD,TOPHIT -27
ANITA BAKER,SWEET LOVE,MAD,EXST 1
ANITA HIRVONEN,ANS KATTOO NY,MAD,KK2
ANITA HIRVONEN,AURINKOON,MEL,1004335
ANITA HIRVONEN,DE VA KUKKU DE,MAD,FIN 46A 8
ANITA HIRVONEN,DE VA KUKKU DE,MAD,PW
ANITA HIRVONEN,DE VA KUKKU DE,MEL,1000531
ANITA HIRVONEN,ET USKO KUINKA KOSKEEKAAN,MAD,FIN 24A 4
ANITA HIRVONEN,ET USKO KUINKA KOSKEEKAAN,MAD,KK6
ANITA HIRVONEN,ET USKO KUINKA KOSKEEKAAN,MEL,1000581
ANITA HIRVONEN,ET USKO KUINKA KOSKEEKAAN,MEL,1314474
ANITA HIRVONEN,GIMMA VIITOSTIELTÄ,MAD,POY
ANITA HIRVONEN,IHANAA ELÄMÄÄ,MEL,1002652
ANITA HIRVONEN,ITKE VAAN JOS HELPOTTAA,MAD,COV07
ANITA HIRVONEN,MAITOLAVAN PRINSESSA,MAD,COV19
ANITA HIRVONEN,PIMI MIUT NYT,MAD,COV19
ANITA HIRVONEN,RANTAREGGAE,MAD,PWD-10
ANITA HIRVONEN,SYDÄN RAKASTAA,MAD,FIN 06B 2
ANITA HIRVONEN,SYDÄN RAKASTAA,MAD,FIN 45B14
ANITA HIRVONEN,SYDÄN RAKASTAA,MEL,1000484
ANITA HIRVONEN,SYDÄN RAKASTAA,MEL,1002758
ANITA HIRVONEN,VILLITSEE MUN,MAD,PWR12
ANITA HIRVONEN,VILLITSEE MUN,MEL,1004357
ANITA HIRVONEN,ÄLÄ TULE MYÖHÄÄN,MAD,LK
ANITA HIRVONEN,ÄLÄ TULE MYÖHÄÄN,MEL,1001525
ANITA KUUSI & KARJAPOJAT,SEITSEMÄN PÄIVÄÄ,MAD,MEL53
ANITA KUUSI JA KARJAPOJAT,SEITSEMÄN PÄIVÄÄ,MEL,1003909
ANITA PAJUNEN,TULIVUORI,MEL,1004080
ANJA NISKANEN,KAIPUU,MEL,1003844
ANJA PIIPPONEN,HAAREMIN RUUSUUUSU,MEL,1003431
ANKI,KAUNEIN UNI,MAD,LK
ANKI,KAUNEIN UNI,MEL,1312359
ANKI,PAHA TYTTÖ,MEL,1312224
ANKI & CUMULUS,CHERBOURGIN SATEENVARJOT,MAD,FIN 10A10
ANKI & CUMULUS,CHERBOURGIN SATEENVARJOT,MAD,FK
ANKI & CUMULUS,PUUVILLAPELLOT,MAD,FIN 31B 9
ANKI & CUMULUS,PUUVILLAPELLOT ,MAD,POY
ANKI JA CUMULUS,CHERBOURGIN SATEENVARJOT,MEL,1000342
ANKI JA CUMULUS,LÄNSITUULI,MEL,1002198
ANKI JA CUMULUS,PUUVILLAPELLOT,MEL,1000638
ANKI JA CUMULUS,PUUVILLAPELLOT,MEL,1003731
ANKI JA CUMULUS,SYYSLAULU,MEL,1002383
ANKI JA CUMULUS,SÄKKIJÄRVEN POLKKA,MEL,1002174
ANKI LINDQVIST,JOS NYT MENET POIS,MEL,1004340
ANKI LINDQVIST,PÄIVÄN VAIN,MEL,1004351
ANN CHRISTINE,LALAIKA,MEL,1000551
ANNA ABREU,BANDANA,MAD,LK
ANNA ABREU,BANDANA,MEL,1315152
ANNA ABREU,HYSTERIA,MEL,1007484
ANNA ABREU,KYLMÄSTÄ LÄMPIMÄÄN,MAD,LK
ANNA ABREU,MÄ ANNAN SUT POIS,MAD,LK23
ANNA ABREU,OHIKIITÄVÄÄ,MAD,LK23
ANNA ABREU,VALEHTELISIN JOS VÄITTÄISIN,MAD,LK
ANNA ERIKSSON,AINA YKSIN,MAD,PWR17
ANNA ERIKSSON,AJATTELEN SUA - ,MAD,PWR17
ANNA ERIKSSON,EI SE MENNYT NIIN,MAD,LK
ANNA ERIKSSON,EI SE MENNYT NIIN,MAD,PWD-19
ANNA ERIKSSON,EI SE MENNYT NIIN,MEL,1001650
ANNA ERIKSSON,EI SE MENNYT NIIN,MEL,1003272
ANNA ERIKSSON,HENKI KULKEE,MEL,1004228
ANNA ERIKSSON,HUOJUVA TALO,MEL,1003631
ANNA ERIKSSON,ILTA YÖHÖN KULJETTAA,MEL,1002247
ANNA ERIKSSON,ISO IKÄVÄ - ,MAD,POY
ANNA ERIKSSON,JOS MULLA OLISI SYDÄN,MAD,LK18
ANNA ERIKSSON,JOS MULLA OLISI SYDÄN,MAD,MEL57
ANNA ERIKSSON,JOS MULLA OLISI SYDÄN,MEL,1312267
ANNA ERIKSSON,JOS MULLA OLISI SYDÄN,MEL,1314170
ANNA ERIKSSON,JULIET JA JONATHAN,MEL,1002116
ANNA ERIKSSON,JULIET JA JOONATAN,MAD,LK
ANNA ERIKSSON,JULIET JA JOONATAN,MAD,PWR03
ANNA ERIKSSON,JULIET JA JOONATAN,MEL,1001661
ANNA ERIKSSON,JÄÄ,MEL,1003432
ANNA ERIKSSON,KAIKISTA KASVOISTA,MAD,LK
ANNA ERIKSSON,KAIKISTA KASVOISTA,MAD,PWR13
ANNA ERIKSSON,KAIKISTA KASVOISTA,MEL,1001478
ANNA ERIKSSON,KAIKISTA KASVOISTA,MEL,1002936
ANNA ERIKSSON,KATSOIT SUORAAN SILMIIN,MAD,FIN 53 02
ANNA ERIKSSON,KESÄ HENGITTÄÄ,MAD,PW
ANNA ERIKSSON,KESÄ YHDESSÄ,MAD,PW
ANNA ERIKSSON,KESÄ YHDESSÄ,MEL,1002273
ANNA ERIKSSON,KESÄLLÄ KERRAN,MEL,1003712
ANNA ERIKSSON,KEVÄTYÖ,MAD,LK
ANNA ERIKSSON,KEVÄTYÖ,MEL,1001660
ANNA ERIKSSON,KEVÄTYÖ,MEL,1002623
